date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:17:57	355/355	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	date:Wed,%2002%20Dec%202020%2021:17:56%20GMT	http://lalaynbaluch.co.uk/robots.txt		(from )
21:17:59	63181/63181	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Dec%202020%2021:17:57%20GMT	http://lalaynbaluch.co.uk/	lalaynbaluch.co.uk/index.html	(from )
21:17:59	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2002%20Dec%202020%2021:17:59%20GMT	http://lalaynbaluch.co.uk/xmlrpc.php	lalaynbaluch.co.uk/xmlrpc.php	(from http://lalaynbaluch.co.uk/)
21:18:02	864/864	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Dec%202020%2021:18:00%20GMT	http://lalaynbaluch.co.uk/feed/rss/	lalaynbaluch.co.uk/feed/rss/index.html	(from http://lalaynbaluch.co.uk/)
21:18:02	45063/45063	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Dec%202020%2021:18:00%20GMT	http://lalaynbaluch.co.uk/feed/	lalaynbaluch.co.uk/feed/index.html	(from http://lalaynbaluch.co.uk/)
21:18:02	31005/31005	---MCZ	200	added ('OK')	application/javascript	etag:W/%22791d-4913175c34880%22	http://lalaynbaluch.co.uk/wp-content/themes/foliogrid/js/jquery.js	lalaynbaluch.co.uk/wp-content/themes/foliogrid/js/jquery.js	(from http://lalaynbaluch.co.uk/)
21:18:03	47681/47681	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Dec%202020%2021:18:00%20GMT	http://lalaynbaluch.co.uk/feed/atom/	lalaynbaluch.co.uk/feed/atom/index.html	(from http://lalaynbaluch.co.uk/)
21:18:03	3165/3165	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c5d-4913175c34880%22	http://lalaynbaluch.co.uk/wp-content/themes/foliogrid/js/jquery.jfade.1.0.min.js	lalaynbaluch.co.uk/wp-content/themes/foliogrid/js/jquery.jfade.1.0.min.js	(from http://lalaynbaluch.co.uk/)
21:18:03	4590/4590	---MCZ	200	added ('OK')	application/javascript	etag:W/%2211ee-4913175c34880%22	http://lalaynbaluch.co.uk/wp-content/themes/foliogrid/js/jquery.masonry.min.js	lalaynbaluch.co.uk/wp-content/themes/foliogrid/js/jquery.masonry.min.js	(from http://lalaynbaluch.co.uk/)
21:18:05	12088/12088	---MCZ	200	added ('OK')	text/css	etag:W/%222f38-49146de0d6280%22	http://lalaynbaluch.co.uk/wp-content/themes/foliogrid/style.css	lalaynbaluch.co.uk/wp-content/themes/foliogrid/style.css	(from http://lalaynbaluch.co.uk/)
21:18:06	25242/25242	---MCZ	200	added ('OK')	text/css	etag:W/%22629a-5861e8a9225bb%22	http://lalaynbaluch.co.uk/wp-includes/css/dist/block-library/style.min.css?ver=5.1.8	lalaynbaluch.co.uk/wp-includes/css/dist/block-library/style.min9738.css	(from http://lalaynbaluch.co.uk/)
21:18:08	816/816	---MCZ	200	added ('OK')	text/xml	date:Wed,%2002%20Dec%202020%2021:18:06%20GMT	http://lalaynbaluch.co.uk/xmlrpc.php?rsd	lalaynbaluch.co.uk/xmlrpc0db0.php	(from http://lalaynbaluch.co.uk/)
21:18:09	75835/75835	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Dec%202020%2021:18:07%20GMT	http://lalaynbaluch.co.uk/wp-json/	lalaynbaluch.co.uk/wp-json/index.html	(from http://lalaynbaluch.co.uk/)
